grain_id,class,class_frac,area_px,equiv_diam_px,centroid_row,centroid_col,bbox_r0,bbox_c0,bbox_r1,bbox_c1,major_px,minor_px,solidity,frac_Monazite & Xenotime,frac_Zircon,frac_Rutile,frac_Ilmenite,frac_Iron Oxides,frac_Biotite,frac_Quartz,frac_Chromite,frac_Orthoclase,frac_Carpholite,frac_Garnet-Spessartine,frac_Pseudobrookite,frac_Illite,frac_Calderite,frac_Topaz,frac_Tourmaline,frac_Unknown
2819,Zircon,0.9682259488084731,2266,53.71369293178304,2145.5070609002646,511.5189761694616,2116,485,2176,540,61.81327838897632,48.3536358844593,0.9129734085414988,0.0,0.9682259488084731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03177405119152692
2821,Rutile,1.0,237,17.371176474327626,2145.012658227848,3001.73417721519,2136,2993,2154,3012,19.186921594158072,16.5070943010189,0.9080459770114943,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2822,Rutile,1.0,346,20.98906578384008,2148.4248554913293,2726.921965317919,2136,2710,2161,2742,36.1312932240923,13.917416188721168,0.8065268065268065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2823,Rutile,0.8653250773993808,646,28.679483013103898,2149.405572755418,1288.0216718266254,2133,1274,2167,1308,32.865033864796395,29.89599187276933,0.7849331713244229,0.0,0.0,0.8653250773993808,0.1346749226006192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2824,Zircon,0.9757509952949692,2763,59.31240057612957,2147.8704306912778,1565.0162866449512,2114,1536,2192,1593,71.04120781150978,53.259635185226834,0.9106789716545814,0.0,0.9757509952949692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024249004705030764
2825,Monazite & Xenotime,1.0,413,22.93137440223813,2150.3898305084745,1812.0653753026634,2137,1800,2162,1827,27.300658954441207,20.54817318716796,0.8586278586278586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2826,Zircon,1.0,288,19.149229459268767,2157.0243055555557,2057.3125,2147,2045,2174,2068,29.601044442891713,21.790303505012655,0.6167023554603854,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2827,Zircon,1.0,1073,36.961953837707625,2150.685927306617,2167.5573159366263,2133,2145,2168,2192,47.893454672298965,29.3697856179854,0.9093220338983051,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2828,Rutile,1.0,238,17.407785949022028,2154.168067226891,2510.138655462185,2146,2498,2164,2522,22.9771082450372,14.437305945346083,0.815068493150685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2829,Iron Oxides,1.0,161,14.317526556719258,2153.645962732919,137.3167701863354,2147,128,2162,145,16.841840059853048,12.756528886776104,0.8797814207650273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2830,Zircon,1.0,1763,47.37849002836722,2156.0448099829837,2280.6999432785024,2134,2246,2178,2313,64.86936197605718,36.68473032449309,0.8616813294232649,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2831,Zircon,1.0,1228,39.54160038408638,2153.182410423453,1754.8574918566776,2135,1733,2175,1783,52.62837193247468,32.75478561924525,0.8765167737330478,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832,Zircon,1.0,2252,53.54750652218632,2163.2761989342807,340.7686500888099,2137,306,2188,379,80.9074728536152,37.851206652262285,0.8742236024844721,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2834,Rutile,1.0,430,23.398568422792877,2162.625581395349,772.660465116279,2151,756,2176,786,30.933950918466657,19.809519489425057,0.8128544423440454,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2835,Zircon,1.0,567,26.86869594648831,2162.7019400352733,1722.6701940035273,2145,1709,2179,1735,34.77167423586739,22.881373272095377,0.8590909090909091,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2836,Zircon,1.0,2583,57.347866081057674,2167.5238095238096,2360.679055361982,2139,2333,2205,2394,66.45843345148182,56.05353574310418,0.8601398601398601,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2837,Zircon,0.998780487804878,820,32.31186201200472,2161.346341463415,185.3609756097561,2146,165,2177,207,44.06688761238078,23.98409953850614,0.9579439252336449,0.0012195121951219512,0.998780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2838,Zircon,0.9413351314902225,1483,43.45358724941183,2164.6075522589344,1171.4106540795685,2136,1149,2195,1188,58.51452352800279,35.195964821537665,0.8392756083757782,0.0,0.9413351314902225,0.0,0.05866486850977748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2839,Quartz,1.0,374,21.821814538001895,2163.5695187165775,713.403743315508,2150,703,2177,724,26.177172524685282,18.979460133650555,0.8968824940047961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
