grain_id,class,class_frac,area_px,equiv_diam_px,centroid_row,centroid_col,bbox_r0,bbox_c0,bbox_r1,bbox_c1,major_px,minor_px,solidity,frac_Monazite & Xenotime,frac_Zircon,frac_Rutile,frac_Ilmenite,frac_Iron Oxides,frac_Biotite,frac_Quartz,frac_Chromite,frac_Orthoclase,frac_Carpholite,frac_Garnet-Spessartine,frac_Pseudobrookite,frac_Illite,frac_Calderite,frac_Topaz,frac_Tourmaline,frac_Unknown
722,Rutile,1.0,101,11.340070282773887,1049.5742574257426,1803.5544554455446,1044,1797,1056,1812,14.126697731325537,10.39343593388403,0.7829457364341085,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,Zircon,1.0,231,17.14987856615383,1054.2727272727273,71.68398268398268,1039,68,1070,79,30.171430085811625,10.732717508737515,0.8884615384615384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,Illite,0.7987987987987988,333,20.590987552733093,1050.5555555555557,3703.927927927928,1039,3692,1064,3717,27.270306015033846,16.951964138835546,0.8409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7987987987987988,0.0,0.0,0.2012012012012012,0.0
725,Zircon,1.0,3055,62.36783473206299,1051.0176759410801,1146.0294599018002,1022,1110,1082,1185,69.33150007104749,57.97323856282688,0.9100387250521299,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,Zircon,1.0,1890,49.055302868797554,1056.5899470899471,1849.9375661375661,1031,1815,1081,1880,64.25158087135165,39.83930287167408,0.8885754583921015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728,Zircon,0.9721939640556121,2949,61.27628756235151,1053.0101729399796,3900.632417768735,1012,3871,1093,3925,77.51383396390004,50.63294370621995,0.9332278481012658,0.0,0.9721939640556121,0.0,0.0,0.02780603594438793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,Rutile,1.0,253,17.94796937867892,1050.4822134387352,1435.3596837944665,1037,1427,1067,1445,26.508581461447967,13.888130444841973,0.7713414634146342,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730,Rutile,1.0,225,16.925687506432688,1058.7866666666666,4616.355555555556,1049,4608,1070,4627,20.753107915070665,14.441216332060888,0.8653846153846154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,Zircon,1.0,2476,56.14749426968458,1059.5020193861067,2336.432552504039,1030,2310,1092,2366,65.20549506901375,49.20915069839602,0.9106289076866495,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
732,Zircon,0.9591486440096121,2913,60.90112309156153,1058.993134225884,3554.699279093718,1027,3521,1093,3592,65.2454116580087,59.09931454272874,0.8889227952395483,0.0,0.9591486440096121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851355990387916
