grain_id,class,class_frac,area_px,equiv_diam_px,centroid_row,centroid_col,bbox_r0,bbox_c0,bbox_r1,bbox_c1,major_px,minor_px,solidity,frac_Monazite & Xenotime,frac_Zircon,frac_Rutile,frac_Ilmenite,frac_Iron Oxides,frac_Biotite,frac_Quartz,frac_Chromite,frac_Orthoclase,frac_Carpholite,frac_Garnet-Spessartine,frac_Pseudobrookite,frac_Illite,frac_Calderite,frac_Topaz,frac_Tourmaline,frac_Unknown
1057,Quartz,1.0,880,33.47313548753602,1070.278409090909,4150.065909090909,1055,4131,1087,4167,35.63686469827247,32.32329026391475,0.9233997901364114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058,Quartz,1.0,119,12.309163489997376,1073.8235294117646,1901.9831932773109,1069,1892,1080,1913,18.94879738717957,11.623069750003912,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1059,Orthoclase,1.0,2684,58.45831795449795,1076.6993293591654,3704.1128912071536,1047,3672,1113,3735,67.63183866669823,54.10987596818555,0.8748370273794003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060,Quartz,1.0,505,25.357168021907675,1069.8613861386139,4280.041584158415,1053,4268,1083,4296,31.331703550175742,22.447676379042033,0.8603066439522998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061,Quartz,0.9945993031358885,11480,120.89991717763775,1069.926306620209,2376.7076655052265,982,2312,1153,2425,160.92230838390446,105.4335679842788,0.803190372909816,0.0,0.0,0.0,0.0,0.0,0.0,0.9945993031358885,0.0,0.0054006968641114985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1062,Quartz,1.0,418,23.06976657227589,1069.7177033492824,73.63157894736842,1052,68,1090,81,39.197053526791606,14.058343083304052,0.9435665914221218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063,Quartz,1.0,299,19.511499785403828,1076.5886287625417,2245.725752508361,1069,2232,1087,2260,29.050794838087125,14.0759945511964,0.7994652406417112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1064,Quartz,1.0,648,28.723844188903154,1081.138888888889,2209.614197530864,1066,2196,1098,2225,33.660717863805495,24.847570035398878,0.9152542372881356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,Quartz,1.0,1758,47.311257853120075,1076.0654152445961,1160.3976109215016,1052,1125,1105,1189,61.960080035900226,40.506549328331616,0.8451923076923077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,Quartz,1.0,745,30.798757455905527,1082.8389261744967,3973.938255033557,1066,3959,1109,3990,41.52457491864721,26.711508816893115,0.8352017937219731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
