object_id,kind,area_px,equiv_diam,major,minor,orientation,eccentricity,solidity,perimeter,circularity,ppl_r_mean,ppl_r_std,ppl_r_p10,ppl_r_p90,ppl_g_mean,ppl_g_std,ppl_g_p10,ppl_g_p90,ppl_b_mean,ppl_b_std,ppl_b_p10,ppl_b_p90,xpl_r_mean,xpl_r_std,xpl_r_p10,xpl_r_p90,xpl_g_mean,xpl_g_std,xpl_g_p10,xpl_g_p90,xpl_b_mean,xpl_b_std,xpl_b_p10,xpl_b_p90
1,grain,7248.0,96.06477096334774,143.29042329337213,77.82406852580645,0.4714488968859142,0.8396543025986726,0.8079366848734812,502.2436867076458,0.3610763769600337,134.99722290039062,58.359188079833984,43.12793731689453,199.25106811523438,136.7894744873047,49.270877838134766,63.829345703125,193.21315002441406,127.62370300292969,44.417179107666016,66.41702270507812,181.99989318847656,48.9808235168457,47.674720764160156,12.0,125.0,56.565399169921875,51.39801788330078,14.0,140.0,56.08112716674805,47.09027862548828,16.0,130.0
2,grain,1626.0,45.500412083182,53.00265547635497,40.184581143625145,0.3873615181823568,0.6520666381940466,0.9695885509838998,161.35533905932738,0.7848085481335871,120.29988861083984,42.053001403808594,72.02365112304688,169.924072265625,126.64388275146484,37.08386993408203,85.393310546875,165.61126708984375,125.93623352050781,36.63451385498047,84.9620361328125,163.8861541748047,69.87454223632812,41.89442443847656,24.0,131.0,82.00984191894531,41.60544967651367,32.0,139.0,82.89299011230469,38.3488655090332,36.0,135.5
3,grain,532.0,26.026206750102993,41.38206949611197,16.953686453836184,1.5510906405598022,0.9122262598604549,0.9333333333333333,101.55634918610406,0.6481974765138241,173.25918579101562,60.91653060913086,12.679903984069824,211.32688903808594,168.37245178222656,59.40327072143555,12.85241985321045,208.7392120361328,163.25057983398438,58.99794006347656,10.437199592590332,204.42642211914062,215.2518768310547,75.50000762939453,13.500308990478516,255.0,215.94737243652344,75.46802520751953,14.000320434570312,255.0,211.2481231689453,75.3443603515625,10.800247192382812,255.0
4,grain,1155.0,38.34829427978659,71.41661330464251,24.853523610974996,1.0672796877163724,0.9374917151881926,0.7905544147843943,179.88225099390857,0.4485545032515576,170.46847534179688,49.582008361816406,118.51557159423828,206.1515350341797,178.07244873046875,46.20771789550781,150.08522033691406,205.28897094726562,178.2636260986328,46.63309860229492,147.49754333496094,207.01409912109375,61.16709899902344,79.35055541992188,12.0,240.0,62.642425537109375,77.99333953857422,14.0,235.0,60.904762268066406,68.28096771240234,18.0,207.0
5,grain,223.0,16.85029431422316,36.35819192847283,8.909290142766544,1.5477313635317658,0.9695124219588308,0.902834008097166,82.14213562373095,0.415319906134192,127.17133331298828,92.48783874511719,0.0,207.70413208007812,118.08545684814453,86.39530944824219,0.0,197.52593994140625,108.50446319580078,81.84721374511719,0.0,191.488037109375,153.7892303466797,112.53242492675781,0.0,255.0,153.44393920898438,112.06851196289062,0.0,255.0,140.4125518798828,104.8887939453125,0.0,243.79998779296875
6,grain,129.0,12.815923738491737,17.12427745018681,10.468097611579205,-0.7724869289320067,0.7913977483819831,0.9020979020979021,48.14213562373095,0.6994374310730253,124.83699035644531,55.14707946777344,0.0,175.96197509765625,114.89415740966797,49.88344192504883,0.0,165.61126708984375,105.90750885009766,47.584388732910156,0.0,153.5354461669922,42.19379806518555,22.36556053161621,0.0,71.0,45.70542526245117,24.501035690307617,0.0,76.19999694824219,50.46511459350586,22.712919235229492,0.0,74.0
7,grain,1310.0,40.84046772017998,72.03508173535906,23.980913122362647,1.5487876883929466,0.9429600070043178,0.9479015918958031,168.97056274847714,0.5765793161609853,187.71121215820312,62.3355827331543,133.6966094970703,218.22735595703125,183.7151336669922,60.72529602050781,133.52410888671875,213.91456604003906,181.12088012695312,59.71448516845703,136.19802856445312,210.46432495117188,225.43588256835938,73.34489440917969,190.80001831054688,255.0,225.5854949951172,73.3063735961914,195.80001831054688,255.0,211.9908447265625,69.8675765991211,172.7000274658203,251.0999755859375
8,grain,516.0,25.631847476983474,47.55615976321873,14.70422199193036,-1.3997107906034256,0.9509980096665271,0.9520295202952029,111.83452377915606,0.5184510759987926,160.32559204101562,72.71051788330078,0.0,208.7392120361328,154.19239807128906,70.56755828857422,0.0,206.1515350341797,150.8140411376953,69.27486419677734,0.0,201.8387451171875,45.28488540649414,34.097816467285156,0.0,98.5,49.91279220581055,38.27919387817383,0.0,110.0,54.222869873046875,40.41181564331055,0.0,116.5
9,grain,269.0,18.5067943613625,29.102733622338604,13.845066333538686,0.0031124935481505055,0.8795909387281172,0.7911764705882353,87.49137802864844,0.4416026086291142,7.663625240325928,2.6988155841827393,0.0,9.48814582824707,7.910530090332031,2.7358181476593018,0.0,9.48814582824707,8.494118690490723,2.938875675201416,0.0,10.350704193115234,7.53903341293335,2.641420602798462,0.0,9.0,7.572490692138672,2.651951789855957,0.0,9.0,7.565055847167969,2.6479365825653076,0.0,9.0
10,grain,686.0,29.554057719513263,35.32766489253328,26.341112617387292,1.3636095661311673,0.6663682402106978,0.884020618556701,135.80508652763322,0.46741420482180757,155.26560974121094,42.380157470703125,102.21321105957031,202.7012939453125,154.3565216064453,38.65018081665039,111.27008056640625,197.52593994140625,148.47703552246094,38.963680267333984,105.23216247558594,194.07571411132812,100.68075561523438,49.66633605957031,36.0,169.0,119.5947494506836,50.4582405090332,52.5,187.5,123.98542022705078,48.548885345458984,62.0,190.0
11,grain,1551.0,44.43866035204299,86.75010584229084,24.870343684129296,1.5325429464133933,0.9580235570050217,0.9785488958990536,205.25483399593904,0.46263115240683717,183.40187072753906,68.50093078613281,0.0,216.5022430419922,181.06729125976562,67.6980209350586,0.0,213.91456604003906,179.69918823242188,66.72379302978516,0.0,210.46432495117188,28.26112174987793,11.167536735534668,0.0,36.0,33.63249588012695,13.642778396606445,0.0,45.0,38.24242401123047,15.028983116149902,0.0,49.0
12,grain,15351.0,139.80522254633223,207.15386289391753,139.1134321765008,-1.196995272807498,0.7409624985061717,0.6935797225861835,1122.3401871576775,0.15314312611912842,150.88287353515625,56.799842834472656,60.379112243652344,209.60177612304688,160.23988342285156,47.35546112060547,89.70610809326172,207.01409912109375,159.96572875976562,45.55073547363281,92.29378509521484,204.42642211914062,142.88169860839844,81.34959411621094,25.0,249.0,153.2169189453125,76.24552154541016,42.0,250.0,145.19699096679688,73.35800170898438,47.0,242.0
13,grain,220.0,16.73656774376801,31.632358712630293,10.036651739661535,1.2566646001542758,0.9483283406940672,0.8764940239043825,75.79898987322333,0.4811779401350329,154.94691467285156,85.0591049194336,0.0,214.77711486816406,148.03074645996094,82.07310485839844,0.0,211.32688903808594,144.6118927001953,80.26090240478516,0.0,207.87664794921875,87.56363677978516,64.72789764404297,0.0,180.0,82.24545288085938,69.73047637939453,0.0,190.09999084472656,82.43636322021484,69.97090148925781,0.0,188.19998168945312
